ID,Titre,Description,Tags,URL
64,Devenez bénévole aux Portes Ouvertes du siège le 4 octobre !,"Après le succès de l'année précédente, le siège du Groupe ouvre à nouveau ses portes au public le samedi 4 octobre. 

Nous espérons battre le record des 1000 visiteurs !

 
Le pôle communication cherche des collaborateurs bénévoles pour faire de cet événement un nouveau succès.

A l'accueil ou en visite, sur l'après-midi ou toute la journée, toute aide est la bienvenue !",actualités,https://go.sudouest-publicite.com/e/433602/s7Byxl-KZfzsbSnV5iKMQ-viewform/b5vrs5/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
65,TV7 et Digivision pour la Bordelaise de Literie,"Une vidéo pour La Bordelaise de Literie, produite par les équipes de Digivision et diffusée sur la chaîne locale TV7.",success story,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5vrsc/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
66,La Météo des Forêts,"Sur une initiative de la rédaction, du 12 au 24 juillet le carré météo devient ""la météo des forets""

Un sponsoring Groupama forêts assureur et Petits fils grâce à Mikael Mallie et Alexandra Michelet",success story,
67,Sunêlia x Influences Locales,"Un projet audacieux de l'Agence Eliette pour Sunêlia, réseau européen de campings

Une collaboration entre l'équipe commerciale et la Brand Factory, qui a mené à la création de la chanson de l'été.

Bravo à toute l'équipe projet pour ce projet innovant !","success story, agence eliette, influences locales",https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5vrsg/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
68,Une offre spéciale pour les premiers numéros du Cahier Eco de septembre,"Pour accompagner nos annonceurs dans une rentrée à fort impact, l'offre booster éco & entreprises est prolongée pour tout le mois de septembre.

Détail de l’offre :

4 éditions concernées : 4,11, 18 et 25 septembre
1 pack visibilité acheté = 1 pack visibilité offert
Amplification digitale géolocalisée : 1000 clics garantis (activation septembre) sur un bouquet de sites des catégories actualités, informations et actualités financières, BtoB",offres,
69,Saisie Advendio,"Utilisez l’offre ""Éco & Entreprises classique"", en appliquant la remise uniquement sur les dates du 4, 11, 18 et 25 septembre

Pour les 1000 clics digitaux, utilisez l’offre ""Local Vista Entreprises"".",offres,
70,Dossier Mobilité durable,Un supplément de 12 pages diffusé le 17 septembre avec les quotidiens,supplément,https://go.sudouest-publicite.com/e/433602/RBoH2ALcXqx1Q-edit-usp-sharing/b5vrsk/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
71,Supplément Bien Vieillir,Le supplément annuel intégré au Sud Ouest Week-End et avec Charente Libre le 4 octobre,,https://go.sudouest-publicite.com/e/433602/ZPrhCmLH6s7l0-edit-usp-sharing/b5vrsn/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
72,Cahier Santé et Bien Être,"Le nouveau rendez-vous mensuel bien être & santé à découvrir dès le 23/09 avec Sud Ouest, sur le modèle de Eco & Entreprises.

Une opportunité pour nos annonceurs de bénéficier d'une forte visibilité auprès d'une audience engagée et affinitaire.

L'offre de lancement : pour 2 numéros achetés, le 3ème est offert, soit 33% de remise par numéro",,https://go.sudouest-publicite.com/e/433602/P-tETFq2YVRJE-edit-usp-sharing/b5vrsv/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
73,,L'équipe Sud Ouest présente au tournoi partenaires du Beach Rugby organisé par Raffut,,
74,,"Découvrez l'aftermovie de Garorock 2025, produit par Digivision",garorock,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5vrt2/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
75,,Isabelle DOUSSET décrypte la quête de l'insight,,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5vrt5/1786564612/h/koS3oWFDZvBYh2eamSvdYceS4187YgNhRvvURVeIHow
76,Géofencing : nouveauté en test avec Bordeaux Métropole,"Avez-vous déjà entendu parler de GEOFENCING ?

Il s'agit d'une fonctionnalité innovante qui établit un zonage géographique et permet de cibler toute personne qui y entre. (un peu comme sur Deliveroo ou Uber Eat).

Cette fonctionnalité proposée par Sud Ouest est actuellement en test dans le cadre d'un partenariat avec Bordeaux Métropole pendant les travaux estivaux autour des tramways.

 
 
Le principe ?

proposer un accès gratuit à l'édition numérique de Sud Ouest pendant 2h sans abonnement ni connexion
un dispositif mis en place aux abords de 17 stations de tram
rendre l'actualité plus accessible à tous les usagers",actualités,https://go.sudouest-publicite.com/e/433602/ndant-deux-heures-24934408-php/b5tts3/1776716435/h/FR8subKMWvKFA0aBSOkiDz-uuH8gQjFVlY55SIzXwcE
77,Retour en images sur l'afterwork chez Aroma-Zone,"L'équipe Gironde a proposé à une centaine d'annonceurs un afterwork sur le format ""Late Night Shopping"" à la boutique Aroma-Zone de Bordeaux avec de nombreuses surprises.

 
Une soirée conviviale sur le thème du bien-être et un retour très positif de la part de nos clients présents.

Bravo à toute l'équipe pour cette jolie opération !",actualités,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5tts6/1776716435/h/FR8subKMWvKFA0aBSOkiDz-uuH8gQjFVlY55SIzXwcE
78,Des formats Native pour une clinique vétérinaire,"A Pau, 2 sociétés se font la guerre au sujet des urgences et Virginie Bertheau a profité de cette motivation pour vendre le triptyque grand angle + publi web et publi boost.",success story,
79,Opérations Petits Fils sur la région PACA,"3 x 36 opérations de STREET MARKETING, blister et impression pour les agences PETITS FILS PACA.

L'ambition est de continuer à remonter les autres régions !

Budget 130k€ sur cette région
Equipe commerciale Arcachon",success story,
80,On questionne nos clients sur les prochaines rencontres,"Rendez-vous focus, webinaires, petits déjeuners, afterwork... ces derniers mois nous avons proposé divers événements à nos annonceurs.

Un questionnaire va être envoyé à nos clients PME et GE afin de récolter leur avis sur les prochaines rencontres organisées par Sud Ouest Publicité et l'Agence Eliette.

 
quel format correspond le mieux à leur besoin
quel créneau horaire est le plus adapté à leur emploi du temps
quelles thématiques sont prioritaires pour leurs stratégies
L'objectif de cette opération est de leur proposer des rendez-vous toujours plus pertinents, utiles et proches de leurs enjeux.",,
81,,Un bel exemple de collaboration inter-services pub-rédac-communication pour la conférence Santé 47,,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5tts9/1776716435/h/FR8subKMWvKFA0aBSOkiDz-uuH8gQjFVlY55SIzXwcE
82,,Retour sur le petit déjeuner de présentation de l'étude Françaises Français etc. 7e édition au CAPC,,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5ttsd/1776716435/h/FR8subKMWvKFA0aBSOkiDz-uuH8gQjFVlY55SIzXwcE
83,Evolution du produit SO Week End,"Depuis plusieurs mois, il y a des réflexions autour du produit SO Week End. 
Le constat :

80% du CA pub est généré par la Gironde et le Sud

A 95% nous sommes en pratique sur 2 éditions et non sur 5 éditions

Certains numéros sont remplis d'auto promos

Ce qui fonctionne ce sont les numéros spéciaux : Thermalisme, Euskadi, Pêche, Sénior, Immobilier...

Il a donc été décidé de :

Garder SO Week End en second tas le samedi avec possibilité suivant le volume pub d'être à 28 ou 32 pages (hors numéros spéciaux)
Passer à 2 éditions en terme de publicité : Edition Sud 40+64 et Edition Gironde/Centre/Charente Maritime
 
 
Le service marketing travaille en ce sens pour les tarifs et la politique commerciale dédiée tout en intégrant une offre Week End qui couple SO WE + SOD.

En parallèle nous travaillons sur un nouveau segment éditorial avec un format pub innovant dans SO WE sur de la déco, tendances, ameublement, jardinage , plancha ...
Toutes les idées de contenus qui permettent de séduire de nouveaux marchés pubs et annonceurs sont les bienvenues.",,https://go.sudouest-publicite.com/e/433602/1yY5g-3BNacxU-edit-usp-sharing/b5st55/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
84,Offre Local Booster,Une nouvelle offre à la performance avec notre partenaire Localvista pour des campagnes digitales diffusées sur nos sites et sur le bouquet de sites du partenaire.,offres,https://go.sudouest-publicite.com/e/433602/VxwttUUkF0nuH-view-usp-sharing/b5st58/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
85,Offres estivales,"Du 21 juin au 24 aût, des offres commerciales attractives sur le weekend, le print, le digital, One day ou encore TV7.
De quoi booster la communication saisonnière de vos annonceurs.",offres,https://go.sudouest-publicite.com/e/433602/7q747MM1ycsA4-edit-usp-sharing/b5st5c/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
86,Plusieurs suppléments pour accompagner l'UBB,"Un supplément demi finale, un supplément finale et un hors série sur le parcours de l'équipe.

Caisse d'Epargne Aquitaine Poitou-Charentes, Mairie de Bordeaux, Chambre des Notaires de la Gironde, Martin Sols, SUZUKI BORDEAUX, Écouter Voir, Voltalis, CACOLAC, CEVA SANTE ANIMALE, Mutuelle Ociane Matmut, GILBERT...

Pour un CA global de 60k€

Une jolie réussite collective !",success story,
87,Edition 2025 du salon Résolution,"1500 visiteurs, 77 exposants, 80 intervenants experts, une journée pleine de rencontres pour accélérer la transformation des modèles d'affaires (thème phare de cette 3e édition de Résolution Gironde).

L'événement est également une réussite commerciale avec des objectifs financiers largement atteints.

Le fruit d'une belle coopération inter-filiale GSO avec le concours de SOP, Sud Ouest, Côte Ouest, Le Studio, sous le patronage de Placéco.",,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5st5g/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
88,Placéco publie sa charte RSE,"Un travail réalisé par les 18 salariés, accompagnés de Delphine Jacque Vaucamp",placéco,https://go.sudouest-publicite.com/e/433602/nouvelle-aquitaine-charte-rse/b5st5k/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
89,"Audrey Brouage, commerciale à La Rochelle","J'ai 42 ans et je suis maman de deux garçons de 14 et 10 ans. J'ai eu la chance de vivre plusieurs années dans les Dom-Tom ainsi que sur la Côte d'Azur avant de m'installer à La Rochelle en septembre dernier. 

 
Après avoir été expert produit automobile chez Renault, je suis sophrologue depuis sept ans et occupe désormais le poste d'attachée commerciale chez Sud Ouest Publicité.

Mes nouvelles missions consistent à trouver des idées créatives et les supports de communication les plus adaptés, qui vont résonner avec les objectifs de mes clients.

Je suis actuellement très investie dans la prise en main de mon nouveau métier, c'est très stimulant. 

Enfin pour mon péché mignon: J'ai une passion pour le chocolat ... parmi tant d'autres 😊",portrait,
90,Soyons vigilants sur la diffusion de nos contenus et suppléments,Attention lorsque vous envoyez le PDF d'un supplément en justificatif à un client à bien leur préciser de ne pas diffuser gratuitement les suppléments. Exemple avec ce post sur Linkedin qui renvoi vers un lien avec notre supplément (payant) à télécharger gratuitement.,,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5st5r/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
91,,"Quand nos clients surfent sur les programmes tendances, ça donne une jolie production Digivision",,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5st5v/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
92,,"La transition écologique n’est plus une option, c’est un impératif.",,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5st62/1764831940/h/pUtj_7ZyTdZvggVkKBHU9dcxW_A1pebPs_mNX2_Zt2M
93,"Découvrez la nouvelle campagne de notoriété ""Connectés aux territoires""","Sud Ouest Publicité souhaite réaffirmer sa puissance locale et ses expertises de publicité à travers la campagne Connectés aux territoires.

Le concept : illustrer nos médias et nos activités tout en montrant la synergie avec les filiales. 

Le fil conducteur est séquencé en 3 parties : proximité et ancrage local, la force de nos médias, expertises et compétences métiers.

Aussi, un plan média est mis en place pour relayer cette campagne sur divers canaux pour une visibilité maximale (on et offline). 

Notre ambition est de toucher l'ensemble des cadres et décideurs de la Nouvelle-Aquitaine 

Cette campagne s'illustre à travers deux contenus : 

Une vidéo corporate dynamique réalisée par Digivision
Une nouvelle plaquette régie retravaillée et un pitch storytellé en version courte ou version complète. (disponible dans la Market Place)
La communication met à votre disposition un kit de communication complet pour que vous soyez chacun, acteurs de cette campagne ",actualités,https://go.sudouest-publicite.com/e/433602/zvq0T-zKfF8tA-edit-usp-sharing/b5r8dv/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
94,Projet local : évolution de la DER Sud Ouest,"Une nouvelle offre éditoriale et publicitaire est lancée depuis le 31 mars.

Nouveauté éditoriale

un contenu éditorial en DER : la DER est désormais consacrée à un contenu rédactionnel positif du lundi au samedi et sera commune à toutes les éditions Sud Ouest,
le site évolue avec des pages locales enrichies et de l'info géolocalisée. Première étape avec La Rochelle déjà en ligne et bien d'autres à venir
 

Nouvelle opportunité publicitaire : un format unique de Formule DER départementale

La page Météo et le carré météo sont déplacés en 3ème de couverture.

A noter qu'il n'y a aucun changement pour PP, CL et DL",actualités,https://go.sudouest-publicite.com/e/433602/3k-V7rNd73QI4-edit-usp-sharing/b5r8dy/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
95,Agglomération Agen avec la Technopole,Création d'un podcast Eco avec son visuel et un mini documentaire pour présenter la nouvelle pépinière d'entreprise de l'agglomération agenaise.,success story,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5r8f2/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
96,Benoît Audition x Digivision,"Pour Benoît Audition, expert en confort auditif, deux publicités pensées pour la télévision segmentée. 

Le premier spot met en scène un chef cuisinier qui orchestre chaque étape de préparation et de cuisson en s’appuyant sur les sons de sa cuisine, transformant son audition en véritable atout de précision.

Le second spot adopte le point de vue des clients : une cliente, attentive aux bruits de la cuisine, devine que son plat est prêt, soulignant ainsi l’importance des sons dans l’expérience sensorielle.

 Un contenu où le rythme sonore, des mouvements dynamiques et une palette de couleurs vibrantes s’entrelacent pour offrir un rendu aussi esthétique qu’impactant.",success story,https://go.sudouest-publicite.com/e/433602/RYz5HwmeT44dh6mBfUj6V1bbjweA7P/b5r8f5/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
97,Focus sur le Boost Publi,L'équipe Marketing ajoute au fur et à mesure des réussites de l'offre Boost Publi dans la Market Place.,offres,https://go.sudouest-publicite.com/e/433602/w-vDBWzeMvopOID-usp-drive-link/b5r8fc/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
98,Focus sur le Boost Publi,"En terme de process, n'oubliez pas la fiche brief pour le trading. Le lien est accessible dans les liens utiles de Sobiz Advendio.",offres,https://go.sudouest-publicite.com/e/433602/2f93j-58062-O5EJ2SOJO86QW80NK2/b5r8fg/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
99,"Guide Été 2025 , c'est lancé !","Vous retrouvez dans l'opération Sobusiness Guide Été 2025 les contacts ayant ouvert l'email de communication, cliqué sur un lien ou effectué une demande de contacts. (onglet ""cible d'opération""). 

Ce sont des opportunités à saisir pour prioriser vos relances. 

Bonne commercialisation !",offres,https://go.sudouest-publicite.com/e/433602/dgx66ZjwivxUw-edit-usp-sharing/b5r8fv/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
100,Nouvelle offre exclusive,"Nouvelle offre à découvrir très bientôt ""HoloPub"" : des publicités holographiques projetées en plein ciel, vos clients vont adorer !

 Plus d'informations et le kit média complet seront dévoilés prochainement par l'équipe marketing, restez connectés !",offres,https://go.sudouest-publicite.com/l/433602/2025-04-01/b5r88k/433602/1743518665eJfGOoj1/poisson_d_avril.png
101,"Cahier Éco & Entreprises, décalages et interruptions 2025","En raison des jeudis fériés de mai, la parution du cahier Éco & Entreprises est décalée au mercredi 30 avril pour le premier et vendredi 9 mai pour le second.

D'autre part, Éco & Entreprises s'interrompra 8 semaines cet été : dernière parution jeudi 3 juillet, reprise jeudi 4 septembre.

Enfin, une interruption de fin d'année : dernière parution de 2025 jeudi 18 décembre, reprise jeudi 8 janvier 2026.

Le tableau des suppléments est mis à jour. Merci d'en tenir compte pour vos prévis éditoriales et pour les réservations éventuelles de 4 pages et cahiers 3 rendues possibles pour la régie et la rédaction sur les jeudis de l'été.",outils,
102,,Visite du CEVA campus avec des partenaires Sud Ouest et les joueurs UBB,,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5r8fy/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
103,,Une campagne Sunêlia réalisée par l'Agence Eliette avec des airs d'évasion !,,https://go.sudouest-publicite.com/e/433602/GwBLP4sZv6c7DzXdFHOVkaZWQapmDQ/b5r8g2/1745758240/h/hxxnY1yRpYFL_wtAfE4JblSC2K1kqnXoQoPkE0mvnQk
104,"Le retour des ""RDV Focus"" avec les experts d'Eliette","Les experts de l'Agence Eliette sont de retour en agence pour prendre le petit déjeuner avec vos clients et prospects !

L'objectif ? Apporter des éléments de compréhension et des conseils pour permettre à vos clients d'améliorer leur stratégie de communication.

Cette année, l'équipe vous propose 4 thèmes :

Contenu avec Jean-Marie : l'IA dans la rédaction de contenu, baguette magique ou bombe à retardement ? On vous explique les risques et on partage nos conseils pour une bonne utilisation.
Stratégie de marque avec Elida et Isabelle : Comment communiquer sur ses engagements RSE et être crédible ?
Social média avec Margot : Comment les contenus vidéos transforment l’engagement des marques ?
Digital avec Elie : SEO & SEA : Comment optimiser l'utilisation de ces leviers ainsi que leur synergie pour accroître la visibilité de votre entreprise ?
 
 
Ces RDV Focus sont aussi de parfaits rendez-vous pour faire connaître ces compétences métiers ou convaincre vos prospects. Ceux de l'an dernier, ont abouti sur des prises de contacts et de jolies signatures notamment : 

Stratégie de marque avec Arobase pour un budget de 18 000€

Stratégie de marque et design avec la Fédération des MFR Nouvelle-Aquitaine pour un budget de 8 000€ + 5 600€

Influence marketing avec la Fédération de la chasse Gironde pour 3 000€

Et bien d'autres encore !

 

Et pourquoi pas vous et votre client ?

L'équipe compte sur vous et votre investissement pour faire connaître ces rendez-vous et inviter vos prospects les plus pertinents.",agence eliette,https://go.sudouest-publicite.com/e/433602/ivity-7296098927143968769-asc0/b5pxsy/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
105,Dernière soirée de lancement Eco & Entreprises,"La soirée du 6 février à Agen est venue clôturer les soirées dédiées au lancement du cahier Eco & Entreprises.

Un événement qui a réunit une centaine d'invités parmi les entreprises les plus dynamiques du territoire Lot-et-Garonnais.

Bravo à l'équipe du Lot-et-Garonne pour l'organisation de cette soirée qui fut une belle réussite !",actualités,https://go.sudouest-publicite.com/e/433602/et-placeco-a-agen-23162454-php/b5pxt2/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
106,Kit Communication,"L'équipe communication met à votre disposition un Kit de communication pour diffuser la version numérique du Guide des Séminaires auprès de vos réseaux.

Email personnalisé ou post social, à vous de choisir le canal que vous préférez pour promouvoir cet guide.","outils, offres",https://go.sudouest-publicite.com/e/433602/Ed6HjS1DKor2o-edit-usp-sharing/b5pxt8/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
107,Retour sur les Prix Néo-Aquitains,"La finale des Prix Neo-Aquitains s'est tenue mardi 11/02 au siège de la Banque Populaire Aquitaine Centre Atlantique. 2 lauréats départementaux parmi les 12 représentants des départements de la région Nouvelle-Aquitaine :

le Groupe Poujoulat des Deux-Sèvres, lauréat du Grand Prix Nouvelle-Aquitaine, fabricant de conduits de cheminée, de sorties de toit en inox et de combustibles,
Centre Koel, centre esthétique alternatif à la chirurgie en Charente, récompensé par le Prix du Public",évènements,https://go.sudouest-publicite.com/e/433602/eoRIQi7cIe7Bd-view-usp-sharing/b5pxtg/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
108,La page Événements sur sudouest.fr,"Accessible depuis la homepage, rubrique ""services"" puis ""événements"". Retrouvez :

les événements à venir, Sud Ouest et Groupe avec renvois vers les articles en ligne, landings d'inscription et sites dédiés.
retour sur événements, avec articles compte-rendu ou posts Linkedin
replays via les articles compte-rendu avec la vidéo de l'événement",,https://go.sudouest-publicite.com/e/433602/evenements-/b5pxtk/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
109,La newsletter Sud Ouest Événements,Une newsletter bimensuelle mise en place en septembre 2024 avec déjà 1 252 abonnés !,,https://go.sudouest-publicite.com/e/433602/28-8b7d-4cad-a511-1f8f8b672e8a/b5pxtn/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
110,La page Linkedin SO Événements,"Une page dédiée qui répertorie les événements Sud Ouest avant, pendant et après l'événement. Une belle vitrine pour nos événements et nos partenaires.

(🚨 pensez à la citer quand vous communiquez sur les événements !)",,https://go.sudouest-publicite.com/e/433602/O9HZC731vUdI4M-edit-slide-id-p/b5pxtr/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
111,"Résolution 2025, c'est parti !","Les inscriptions pour le 3ème salon Résolution sont ouvertes avec une nouveauté cette année ""les prix Résolution""",placéco,https://go.sudouest-publicite.com/e/433602/ous-donne-rdv-le-10-avril-6972/b5pxtv/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
112,,Découvrez les coulisses de la dernière pub Grand Angle Corporate pour la Banque des Territoires.,,https://go.sudouest-publicite.com/e/433602/hare-utm-medium-member-desktop/b5pxty/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
113,,Sud Ouest dans le top 20 des marques numériques à la plus forte croissance en 2024 selon Similarweb,,https://go.sudouest-publicite.com/e/433602/nliactivity7289932451865350145/b5pxv2/1732393486/h/faV9BoQ9H5OT8f6pZPzH0v3H7zEyYF1nFnHe-ZIc574
114,2025 s’annonce comme une année décisive pour l’Agence Eliette,"Une année de consolidation, d’expansion et d’innovation. Plus que jamais, nous affirmons notre positionnement en tant qu’agence de communication positive et durable.

Pour renforcer notre implantation en Nouvelle-Aquitaine notre maillage commercial est un atout indéniable.

La Média et la Brand Factory jouent un rôle essentiel dans notre stratégie pour répondre aux nouvelles attentes des entreprises. En renforçant nos expertises en contenu, influence et social media, nous visons à créer des expériences engageantes et durables :

Le contenu comme levier stratégique : Nous accompagnons les entreprises dans la création de récits impactants, qui génèrent de l’émotion et de l’engagement.
Une influence réinventée : Avec Influences Locales, nous bâtissons des alliances stratégiques entre marques et influenceurs régionaux, ancrées dans l’authenticité et la proximité.
 
Un social media centré sur la conversation : Nous ne postons pas, nous créons des interactions qui comptent, en mettant la créativité au service du sens.
Un ciblage média optimisé : Grâce à notre Média Factory, en complément de nos marques éditeurs, nous offrons une extension d’audience amplifiée sur l’ensemble des leviers médias disponibles.
Plus qu’une agence, nous sommes un partenaire engagé, prêt à bâtir avec nos clients une communication plus créative, efficace et porteuse de sens.

La réussite de 2025 reposera sur plusieurs leviers : l’augmentation de la part des prestations de conseil dans notre chiffre d’affaires (34 % en 2025), la fidélisation de nos clients sur ces offres, la sécurisation de 70 % du CA annuel en conseil avant le 1er juillet, et un renforcement de notre dynamique de prospection.

2025 est une année charnière, une année où nous avons l'opportunité de marquer notre territoire, de renforcer notre impact et d’accélérer notre croissance. Notre force ? Une équipe engagée, audacieuse et experte, prête à relever ces défis ensemble.

 
Fabrice Bory
Directeur de l'Agence Eliette",agence eliette,
115,Le rendez-vous Éco & Entreprises ,"Éco & Entreprises, le nouveau rendez-vous économique hebdomadaire proposé par Sud Ouest et Placéco, s'est imposé avec succès ! 

Après une soirée de lancement plus que réussie à Bordeaux le 8 janvier, veille de la parution du premier cahier le 9 janvier dans Sud Ouest, puis d’un second événement à La Rochelle le 27 janvier, l’enthousiasme est au rendez-vous. 

Prochaine étape : so",offres,https://go.sudouest-publicite.com/e/433602/nliactivity7285581617597677569/b5pf6y/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
116,Éco & Entreprises ,"Éco & Entreprises c'est : 

un cahier tous les jeudis
une rubrique digitale dédiée
une offre d'abonnement dédiée
Une belle dynamique qui ne fait que commencer et des espaces publicitaires premiums à propose à vos annonceurs chaque semaine !

Merci à tous ceux qui ont participé et participent encore à la réussite de ce nouveau rendez-vous !",offres,https://go.sudouest-publicite.com/e/433602/P-tETFq2YVRJE-edit-usp-sharing/b5pf72/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
117,UBB x SOP,"A l'occasion de la sortir du poster officiel de l'UBB, un dispositif exceptionnel est mis en place : 

6 000 posters envoyés aux abonnés UBB avec le journal 

8 000 exemplaires distribués au Village UBB du Stade Chaban à l'occasion du match contre LOU Rugby

2 000 exemplaires disponibles à la boutique UBB de Bordeaux

52 000 ex offerts avec l'édition Gironde de Sud Ouest le 25 janvier

Une opération unique pour célébrer le dévoilement de la photo officielle menée par Céline Pauquet",success story,https://go.sudouest-publicite.com/e/433602/ivity-7288473115213340672-Jy5E/b5pf7c/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
118,Connaissez-vous la newsletter SO Event ?,"Tous les mois, l'équipe événement éditeurs vous envoie une sélection des événements en Nouvelle-Aquitaine organisés par le Groupe Sud Ouest : conférences, débats, face aux lecteurs,...

Inscrivez-vous pour ne rien manquer des événements éditeurs BtoB BtoC.",,https://go.sudouest-publicite.com/e/433602/evenements-/b5pf7k/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
119,Campus,"Les campus reprennent avec un premier rendez-vous en compagnie de Charlotte Claris pour tout savoir sur la Market Place et ses bonnes pratiques. 

Profitez-en pour lui poser toutes vos questions / remarques",campus,https://go.sudouest-publicite.com/e/433602/97-ec55-44b6-ac3f-aca69d42d136/b5pf7n/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
120,Campus,"Et pour tous ceux que vous avez peut être manqués, les replays sont toujours disponibles",campus,https://go.sudouest-publicite.com/e/433602/X7VGYNqFyPi-hzf-usp-drive-link/b5pf7r/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
121,Célébrer l'anniversaire de sa marque : un levier stratégique incontournable,"Fabrice Bory aborde la célébration d'anniversaire de marque, vrai levier stratégique",agence eliette,https://go.sudouest-publicite.com/e/433602/vity-7272230737179815936-lu0K-/b5pf7v/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
122,Digital 100 Winner by Similarweb,Sud Ouest dans le top 20 des marques numériques à la plus forte croissance en 2024 selon Similarweb,gso,https://go.sudouest-publicite.com/e/433602/nliactivity7289932451865350145/b5pf7y/1727720647/h/22XgK6knfb_mbcEABEWMIIf9nqhbx4lExNbittjEfnA
